Rank;Prev;Diff;Rider;Team;Points;Date_of_birth;Nationality;Weight;Height;PCS_points;One_dav_races;GC;Time_trial;Sprint;Cimber
306;306;;Vacek Mathias;Trek - Segafredo;205;12th June 2002;Czech Republic;74;1.82;205;183;149;159;66;78
307;307;;Ghebreigzabhier Amanuel;Trek - Segafredo;204;17th August 1994;Eritrea;68;1.86;204;504;557;200;288;686
308;308;;Taaramäe Rein;Intermarché - Circus - Wanty;203;24th April 1987;Estonia;68;1.75;203;737;2948;1508;554;2408
309;309;;Watson Samuel;Groupama - FDJ;203;24th September 2001;Great Britain;68;1.84;203;207;69;64;114;110
311;311;;Wallin Rasmus Bøgh;Restaurant Suri - Carl Ras;201;2nd January 1996;Denmark;78;;201;219;137;41;447;28
312;312;;Kirsch Alex;Trek - Segafredo;199;12th June 1992;Luxembourg;78;1.88;199;483;363;627;516;380
313;313;;Meijers Jeroen;Terengganu Polygon Cycling Team;197;12th January 1993;Netherlands;68;1.87;197;261;636;34;486;416
314;314;;Bou Joan;Euskaltel - Euskadi;196;16th January 1997;;;1.86;196;18;292;7;20;208
315;315;;Fedeli Alessandro;Q36.5 Pro Cycling Team;194;2nd March 1996;Italy;65;1.86;194;479;95;25;182;523
316;316;;Prades Benjamín;JCL Team UKYO;193;26th October 1983;Spain;56;1.81;193;285;725;88;390;688
317;317;;Mareczko Jakub;Alpecin - Deceuninck;193;30th April 1994;Italy;67;1.95;193;470;381;20;4432;100
318;318;;Koishi Yuma;JCL Team UKYO;193;15th September 1993;Japan;62;1.94;193;112;148;107;107;46
319;319;;Kanter Max;Movistar Team;193;22nd October 1997;Germany;68;1.81;193;471;203;32;954;418
320;320;;Herregodts Rune;Intermarché - Circus - Wanty;193;27th July 1998;Belgium;70;;193;382;151;282;156;264
321;321;;Fisher-Black Finn;UAE Team Emirates;193;21st December 2001;New Zealand;73;;193;25;230;293;17;325
322;322;;Mihkels Madis;Intermarché - Circus - Wanty;193;31st May 2003;Estonia;75;1.76;193;221;47;72;145;92
